,ID_long,add_info,notes
787,3262911802-61005-013_3262911802-61005-014,"Listings 01/12/1959
BRE Cert Ok 01/25/1959",Missing relocation information.
788,3262912784-61006-001_3262912784-61006-002,"BRE Cert 03/16/1959
Listing 03/09/1959",No relocation information.
790,3262912784-61006-005_3262912784-61006-006,"BRE Cert 03/11/1959 Processed 04/09/1959
Reprocessed 05/12/1959","Comment in the Welfare section indicates “none”. 
Comment in the relocation section indicates tenants were planning to move to NJ. 
No relocation information. 
Interestingly, the record was reprocessed. No comment as to why this happened."
793,3262912784-61006-011_3262912784-61006-012,Listings 03/09/1959 BRE Cert 04/13/1959,No information in the back card.
795,3262912784-61006-015_3262912784-61006-016,"(Park West Village) Will move 02/04/1959
BRE Cert Ok 
02/17/1959 Processed","Person #2’s income is from Social Security.
Tenants requested relocation was not to a Walk up or Ground floor.
No relocation information in the back card."
799,3262913099-61007-003_3262913099-61007-004,"Listing 04/09/1959 
BRE Cert 03/25/1959 Ok","Person #1 is on welfare.
Comment in the welfare section indicates 15 dyas. Not sure if this refers to the person receiving checks every 15 days.
No relocation information in the back card."
800,3262913099-61007-005_3262913099-61007-006,"Listings 03/16/1959
BRE Cert OK 03/17/1959",No relocation information in the back card.
805,3262913099-61007-015_3262913099-61007-016,"Listings 02/17/1959
BRE Cert OK 02/17/1959",Comment in the welfare section indicates “none”. No information in the back card.
807,3262913099-61007-019_3262913099-61007-020,"Tenant has very bad heart condition. He must have Gr. Fl. Apt. 
06/05/1958 Mr. Dutcher is in NY State Veterans Hospital, Mt. McGregor NY.
BRE Cert 03/25/1959 Processed 04/01/1959.","Income is from pension.
Tenant requested a max of 50.00 for rent.
Tenant requested a Ground Floor.
No relocation information in the back card."
809,3262913528-61008-001_3262913528-61008-002,listing bre cert: 06/11/1959,
811,3262913528-61008-005_3262913528-61008-006,"03/09/1959: 324 W 96 St 5 @ 76.00 refused, bre cert 04/16/1959, processed 04/20/1959",
812,3262913528-61008-007_3262913528-61008-008,"bre cert 12/02/1958, processed 02/17/1959",
814,3262913528-61008-011_3262913528-61008-012,"bre cert ok 02/13/1959, listing 03/10/1959",
815,3262913528-61008-013_3262913528-61008-014,"bre cert: 04/06/1959, processed: 04/08/1959",
822,3262913967-61009-001_3262913967-61009-002,Listing 08/11/1959  BRE Cert OK 08/02/1959,No relocation information on the back card.
825,3262913967-61009-007_3262913967-61009-008,BRE Cert 03/13/1959,A lot of information is missing in the back card.
826,3262913967-61009-009_3262913967-61009-010,BRE Cert 03/23/1959 Listings 03/9/1959,A lot of missing information on the back card.
827,3262913967-61009-011_3262913967-61009-012,BRE CErt 01/12/1959,"Comment next to person #1: “Husband in Service. Alimony - Fed. Govt.”.
Part of tenants income was from Alimony.
A lot of information is missing on the back card."
830,3262913967-61009-017_3262913967-61009-018,11/13/1958 Processed W/O BRE Cert,I believe that the information for Relocated site in the Apartment Characteristics section refers to a location that is not the final destination of the tenant per the information provided at the top of the card.
831,3262913967-61009-019_3262913967-61009-020,BRE Cert Ok 04/22/1959  Listings 03/20/1959,A lot of missing information in the back card.
832,3262913967-61009-021_3262913967-61009-022,Listings 01/16/1959  BRE Cert Ok 01/13/1959,A lot of missing information in the back card.
837,3262914236-61010-009_3262914236-61010-010,bre certification substandard (toilet in hall),
838,3262914236-61010-011_3262914236-61010-012,10/27/1958 processed w/o bre cert,
912,3262921798-61019-001_3262921798-61019-002,08/20/1958 in process w/o BRE Cert,"Rent was paid weekly.
Person 1 received social security. Person 2 was on welfare.
A lot of missing information."
914,3262921798-61019-005_3262921798-61019-006,"05/27/1958 Picked up by police for policy playing
BRE Cert 11/24/1959   Processed 04/20/1959","Rent was paid weekly.
A lot of information missing.
Relocation area rent was paid weekly."
950,3458100579-61040-001_3458100579-61040-002,11/03/1958 Processed w/o BRE Cert.,"Family’s information was crossed off. 
Weekly rental is 32.00
Note indicating they moved to a motel."
970,3458100579-61040-041_3458100579-61040-042,,"Weekly rental 13.00 in the original address. 
Note in Moving Expense: “25.00 (BRE)”"
991,3458102587-61042-025_3458102587-61042-026,10/26/1958 processed w/o bre cert,
998,3458103019-61041-007_3458103019-61041-008,"listing: 12/19/1958, bre cert ok:12/04/1958",
1042,3458104222-61036-005_3458104222-61036-006,"10/27/1958 - processed w/o bre cert,  11/03/1958- bre cert ",
1044,3458104222-61036-009_3458104222-61036-010,08/15/1958-5/5-overcrowded- bre certification,
1054,3458104431-61035-001_3458104431-61035-002,08/21/1958 process w/o bre cert,
1057,3458104431-61035-007_3458104431-61035-008,08/20/1958 process w/o bre cert,
1074,3458104715-61034-011_3458104715-61034-012,10/20/1958 processed w/o bre cert,
1095,3458105308-61032-001_3458105308-61032-002,"02/11/1959 processed, 03/04/1959 bre cert ok, 09/03/1959 processed ",
1108,3458105558-61030-003_3458105558-61030-004,"08/06/1958 expects to vacate, 08/18/1958 to new job at 882 3rd ave as supt, bre cert 09/22/1958, 10/06/1958 processed ",
1126,3458105764-61029-005_3458105764-61029-006,10/20/1958 Processed w/o BRE Cert,"It seems that tenant was initially thought to be the super but then was noter as working for TV.
Tenant was super at the relocation site."
1133,3458106011-61028-005_3458106011-61028-006,"11/03/1958 Processed w/o BRE Cert
11/06/1958 BRE Cert Ok",
1138,3458106011-61028-015_3458106011-61028-016,08/20/1958 Processed w/o BRE Cert,Answers given in Housing Condition section do not match Move Out Data
1140,3458106474-61027-003_3458106474-61027-004,10/20/1958 Processed w/o BRE Cert,
1178,3458107841-61025-031_3458107841-61025-032,12/09/1958 processed w/o bre cert,
1180,3458108834-61044-003_3458108834-61044-004,11/19/1958 processed w/o bre cert,
1185,3458108834-61044-013_3458108834-61044-014,10/27/1958 processed w/o bre cert,
1190,3458109121-61045-001_3458109121-61045-002,11/24/1958 processed bre cert,
1203,3458109563-61046-003_3458109563-61046-004,11/20/1958 processed w/o bre cert,
1208,3458109563-61046-013_3458109563-61046-014,"listing 12/19/1958, bre cert ok 12/23/1958",
1209,3458109563-61046-015_3458109563-61046-016,"11/24/1958 processed w/o bre cert, 10/29/1958 bre cert ok ",
1234,3458110245-61048-001_3458110245-61048-002,"bre cert 02/24/1959, processed 4/15/1959",
1241,3458110245-61048-015_3458110245-61048-016,12/15/1958 processed w/ bre cert,
1246,3458110635-61049-003_3458110635-61049-004,BRE Cert. 14/07/1959 Processed 04/14/1959,Weekly rent is 18.00 for the original address.
1251,3458110635-61049-013_3458110635-61049-014,BRE Cert 04/01/1959 Processed 04/01/1959,"Weekly rental is 18.00 for the original address. 
Date hard to understand in the back of the card."
1261,3458110635-61049-033_3458110635-61049-034,"BRE Cert- Sub-Standard- No Private Bath+overcrowded
Processed 04/08/1959
Family claimed to have vacated to new location 449 W 125 St NYC c/o 
BRE Cert- unknown 04/28/1959 @ 449 W 125 St
'' '' '' 05/26/1959 @ '' '' '' on re inspection ","Weekly rental is 21.00 for original address. 
Income for person 2 note is Welfare
Welfare received says “None”
Note in new Address: “(Also substandard- overcrowded)”
“? Mr. Donald”"
1263,3458110635-61049-037_3458110635-61049-038,BRE Cert 04/02/1959 Processed 04/02/1959,"No date in the front of the card.
Weekly rental is 35.00 for original address.
New address hard to understand.
Note in monthly rent hard to understand: “Put Home”"
1264,3458110635-61049-039_3458110635-61049-040,"09/03/1958 info gotten from (BRE)
BRE Cert 04/01/1959 Processed 04/01/1959","Weekly rental is 18.00 for the original address.
Seperated"
1265,3458110635-61049-041_3458110635-61049-042,Processed 05/14/1959,"No M.O.
Weekly rental is 22.00 for the original address. 
Weekly rental is 24.00 for new address.
Note in Moving Expenses: “46.50 (BRE)”"
1267,3458110635-61049-045_3458110635-61049-046,"BRE Cert 03/18/1959
Listings 03/20/1959","Weekly rental is 16.00 for the original address. 
Welfare is “semi mo”
Seperated"
1269,3458110635-61049-049_3458110635-61049-050,BRE 04/06/1959 Processed 04/06/1959,Weekly rental is 18.00 for the original address.
1270,3458110635-61049-051_3458110635-61049-052,BRE Cert 03/21/1959 Processed 04/06/1959,"Weekly rental is 22.00 for the original address. 
No family information."
1271,3458110635-61049-053_3458110635-61049-054,BRE Cert 03/31/1959 Processed 04/06/1959,
1272,3458110635-61049-055_3458110635-61049-056,"03/30/1959 Processed
BRE Cert OK 03/24/1959","Weekly rental is 35.00 for the original address. 
Weekly rental is 40.00 for the new address.
Can’t understand the last note in Additional Information."
1273,3458110635-61049-057_3458110635-61049-058,BRE Cert 03/25/1959,"No M.O.
Note in Family Composition: “Moved”
Welfare Assistance note: “Chauncey Mary”"
1274,3458110635-61049-059_3458110635-61049-060,BRE Cert 03/22/1959 Processed 03/26/1959,Weekly rental is 18.00 for original address.
1277,3458110635-61049-065_3458110635-61049-066,"Croy- BRE 02/04/1959
03/02/1959 Processed","Family years of birth are ages, instead of dates. 
W- 18 (1940), D- 3 (1955), S- 1 (1957)
Note in Relocated to: Public Housing, “Mr Grant”"
1278,3458110635-61049-067_3458110635-61049-068,"Listings 02/27/1959
03/02/1959 BRE Cert OK","Weekly rental is 16.00 for the original address. 
Income is Welfare"
1286,3458110635-61049-083_3458110635-61049-084,10/20/1958 Processed N/O BRE Cert,"Weekly rental is 22.90 for original address. 
Life in city."
