,ID_long,add_info,notes
1495,3568903702-61061-015_3568903702-61061-016,"BRE Cert 06/25/1959
Listings June 25/1959",
1498,3568903702-61061-021_3568903702-61061-022,"List of addresses. 
Listings May 27/1959
BRE CErt Ok 03/28/1959",Separated.
1504,3568903702-61061-033_3568903702-61061-034,"List of addresses.
Listings 05/04/1959
BRE Cert OK 05/12/1959",Income Person 2 says “Emp.”
1505,3568903702-61061-035_3568903702-61061-036,"Listings 03/06/1959
Proc. BRE 03/19/1959",Widowed
1511,3568904271-61062-003_3568904271-61062-004,"listing 06/12/1959, bre cert ok 06/25/1959",
1514,3568904271-61062-009_3568904271-61062-010,"bre cert 03/17/1959, listing 03/17/1959",
1515,3568904271-61062-011_3568904271-61062-012,"bre cert 02/05/1959 , listing 02/04/1959",
1516,3568904271-61062-013_3568904271-61062-014,"listing 02/02/1959, 01/30/1059 bre cert ok",
1519,3568904271-61062-019_3568904271-61062-020,"tenant may file for bonus at future date 07/07/1958, bre cert 12/03/1958",
1524,3568904271-61062-029_3568904271-61062-030,"listing 01/27/1959, bre cert ok 01/28/1959",
1530,3568905752-61063-007_3568905752-61063-008,"bre cert 03/20/1959, forwarded 03/26/1959",
1532,3568905752-61063-011_3568905752-61063-012,05/05/1958 bre inspection standard,
1534,3568905752-61063-015_3568905752-61063-016,"bre cert ok 05/12/1959, multiple addressed offered ",
1536,3568905752-61063-019_3568905752-61063-020,"listing 02/10/1959, bre cert ok 02/16/1959",
1537,3568905752-61063-021_3568905752-61063-022,"listing 01/14/1959, 01/14/1959 bre cert ok ",
1538,3568905752-61063-023_3568905752-61063-024,"listing 01/30/1959, bre cert ok 01/30/1959",
1539,3568905752-61063-025_3568905752-61063-026,"listing 12/19/1958, bre cert ok 12/19/1958",
1541,3568905752-61063-029_3568905752-61063-030,"listing 03/02/1959, bre cert ok 03/09/1959",
1543,3568906814-61064-001_3568906814-61064-002,"bre cert 10/31/58, 1/8/58 bre cert ",
1544,3568906814-61064-003_3568906814-61064-004,"01/12/1959 bre cert ok, listing 01/08/1959",
1548,3568906814-61064-011_3568906814-61064-012,"listing 01/23/1959, 01/08/1959 bre cert ok",
1549,3568906814-61064-013_3568906814-61064-014,"08/29/1958 offered an location, 11/19/1958 processed w/o bre cert, 11/20/1958 bre cert ",
1558,3568908691-61066-005_3568908691-61066-006,"12/09/1958 Processed w/o BRE Cert
BRE Cert Ok 12/03/1958",
1559,3568908691-61066-007_3568908691-61066-008,09/08/1958 BRE Cert Standard,
1566,3568909324-61067-001_3568909324-61067-002,"12/09/1958 Processed w/o BRE Cert
BRE Cert Ok 11/25/1958",Person 1 was unemployed
1567,3568909324-61067-003_3568909324-61067-004,BRE Cert 04/14/1959 Processed 04/20/1959,
1570,3568909324-61067-009_3568909324-61067-010,11/03/1958 Processed w/o BRE Cert,
1574,3568909924-61068-005_3568909924-61068-006,"10/27/1958 bre cert, processed 11/19/1958 ",
1575,3568909924-61068-007_3568909924-61068-008,"bre cert 02/09/1959, processed 04/15/1959",
1576,3568909924-61068-009_3568909924-61068-010,"bre cert 02/10/1959, processed 04/15/1959",
1577,3568909924-61068-011_3568909924-61068-012,"bre cert 07/02/1959, processed 04/15/1959",
1600,3568912231-61070-003_3568912231-61070-004,"11/20/1958 processed w/o bre cert, bre cert 11/19/1959",
1604,3568912231-61070-011_3568912231-61070-012,"11/19/1958 processed w/o bre cert, 10/27/1958 bre cert ok",
1608,3568912231-61070-019_3568912231-61070-020,12/15/1958 processed w/o  bre cert,
1624,3568913303-61072-003_3568913303-61072-004,"11/18/1958 bre cert no central heat, 01/29/1959 processed ",
1626,3568913303-61072-007_3568913303-61072-008,09/13/1958 bre cert,
1633,3568913303-61072-021_3568913303-61072-022,10/07/1958 processed w/o  bre cert,
1634,3568913303-61072-023_3568913303-61072-024,"processed, bre cert 11/13/1958",
1636,3568913707-61073-001_3568913707-61073-002,"11/05/1958 Processed w/o BRE Cert 
10/29/19558 BRE Cert Ok",
1644,3568913707-61073-017_3568913707-61073-018,BRE Certification 08/15/1958 substandard - overcrowded,
1647,3568914324-61074-005_3568914324-61074-006,10/20/1958 processed w/o bre cert,
1658,3568914715-61075-001_3568914715-61075-002,08/20/1958 For Process w/o BRE Cert,"Person 11 - Relationship: S, Year of Birth: 1958"
1662,3568914715-61075-009_3568914715-61075-010,BRE Cert Substandard,
1667,3568915127-61076-005_3568915127-61076-006,11/18/1958 - (s/s) bre cert 10/23/1958,
1670,3568915127-61076-011_3568915127-61076-012,"11/25/1958 bre cert, 12/10/1958",
1681,3568915429-61077-003_3568915429-61077-004,bre-substandard,
1689,3568915429-61077-019_3568915429-61077-020,"bre certification 08/08/1958, 11/07/1958 relocation",
1690,3568915429-61077-021_3568915429-61077-022,"09/17/1958 processed, 05/05 by bre, 01/29/1959 processed ",
1693,3568915830-61078-005_3568915830-61078-006,BRE Certification 08/18/1958 substandard - overcrowded,
1701,3568916491-61079-001_3568916491-61079-002,"12/08/1958 Processed w/o BRE Cert
BRE Cert Ok 11/03/1958",
1702,3568916491-61079-003_3568916491-61079-004,BRE Cert Substandard 10/27/1958 Processed 04/21/1959,"At some time Mother was hospitalized and children taken in by Department of Welfare. 
According to the information provided they ended up at the Bronxdale Houses (today Sotomayor Houses)."
1705,3568916491-61079-009_3568916491-61079-010,BRE Certification - substandard overcrowded,
1706,3568916491-61079-011_3568916491-61079-012,10/27/1958 Processed w/o BRE Cert,
1738,3687346103-61084-007_3687346103-61084-008,"bre cert substandard 10/31/1958 no central heat, processed 11/26/1958, 02/05/1959 tenant rental sponsor found apt and moved in 02/04/1959 - being reprocessed 02/05/1959 through listing, cert ok 02/09/1959",
1754,3687346643-61085-015_3687346643-61085-016,"10/07/1958 Processed
w/o BRE Cert",Weekly rental is 16.50 for the original address.
1785,3687350085-61088-017_3687350085-61088-018,10/27/1958 processed w/o bre cert,
1789,3687350085-61088-025_3687350085-61088-026,"listing 01/20/1959, 01/21/1959 processed w/o bre cert, bre cert ok 01/15/1959",
1792,3687351060-61089-001_3687351060-61089-002,12/15/1958 processed w/o bre cert,
1794,3687351060-61089-005_3687351060-61089-006,bre cert 11/17/1958 unknown,
1797,3687351060-61089-011_3687351060-61089-012,"10/16/1958 processed, 08/18/1958 bre cert ",
1806,3687352813-61090-003_3687352813-61090-004,10/27/1958 processed w/o bre cert,
1818,3687352813-61090-027_3687352813-61090-028,10/07/1958 processed w/o bre cert,
1826,3687354473-61091-011_3687354473-61091-012,"List of addresses.
BRE Certification OK 07/14/1959
Listings, July 13/1959","22.00 bi. Monthly for the original address. 
Rent range says Welfare. 
Separated."
1827,3687354473-61091-013_3687354473-61091-014,"BRE Certification OK 07/14/1959
Listings, July 13/1959","No date in the front of the card. 
Weekly rental is 14.00 for the original address. 
No family information."
1828,3687354473-61091-015_3687354473-61091-016,"BRE Cert OK 07/14/1959
Listings, July 13/1959
Processed 07/16/1959","No date in the front of the card. 
Income Person 1 is Welfare. 
Separated. 
No. of Years in City is Life."
1853,3687357055-61094-009_3687357055-61094-010,"02/09/1959 processed, 03/10/1959 bre cert ",
1854,3687357055-61094-011_3687357055-61094-012,"11/24/1958 processed w/o bre cert, 10/08/1958 bre cert ok ",
1885,3687357594-61095-041_3687357594-61095-042,BRE Cert OK 06/04/1959,"No date in the front of the card.
No family information."
1894,3687358389-61096-015_3687358389-61096-016,"Family moved over to
11/19/1958 Processed w/o BRE Cert.","No date in the front of the card. 
Weekly rental is 20.00 for the original address. 
Widowed."
1898,3687358841-61097-005_3687358841-61097-006,"11/24/1958 Processed w/o BRE Cert
BRE Cert OK 09/29/1958
Processed 12/03","No date in the front of the card. 
Widowed."
1903,3687359409-61098-003_3687359409-61098-004,"bre cert 01/07/1959, processed 04/20/1959",
1910,3687359409-61098-017_3687359409-61098-018,10/20/1958 processed w/o bre cert,
1911,3687359409-61098-019_3687359409-61098-020,12/09/1958 processed w/o bre cert,
1912,3687359409-61098-021_3687359409-61098-022,"11/19/1958 processed w/o bre cert, bre cert ok 10/21/1958, processed 12/03",
1915,3687359810-61099-001_3687359810-61099-002,BRE Cert 12/19/1958 Substandard- Overcrowded.,"No date in the front of the card. 
Weekly rental is 7.75 for the original address. 
Person 1 Income is Welfare."
1960,3687361245-61102-009_3687361245-61102-010,"BRE Cert 02/26/1959 
Processed 04/16/1959",Person 2 is a Housewife
1961,3687361245-61102-011_3687361245-61102-012,04/30/1958- BRE inspection- Standard,"Single
Note in Moving Expense: BRE"
1972,3687361245-61102-033_3687361245-61102-034,05/14/1958 BRE inspection Standard OK,"Note in Monthly Rental: “Verified 02/28”
New Apartment number says 2nd Floor."
1982,3687361245-61102-053_3687361245-61102-054,"BRE Cert 04/06/1959
Listings Apr. 03/1959","Income for Person 1 is Welfare. 
Stamp in the back of the card: Emergency Move Intra-Site Transfer
Note: “From 142 W 64 St Room Parlor”"
1987,3687361616-61103-009_3687361616-61103-010,"List of addresses.
BRE Cert 04/09/1959
Listings Apr. 08/1959",Person 2 is in School.
1994,3687361616-61103-023_3687361616-61103-024,"BRE Cert 04/02/1959 
Processed 04/02/1959",New address is a Private House.
1996,3687361616-61103-027_3687361616-61103-028,"Address. 
Listings 05/20/1959
BRE Cert OK 05/22/1959","No date in the front of the card. 
Income for Person 1 says 15.00 MO
Monthly Rent is Free Supt. 
Persons 3-4 are in School
Person 6 is Unemployed"
1998,3687361616-61103-031_3687361616-61103-032,"BRE Cert 04/08/1959
Processed 04/13/1959","Divorced.
Public Housing is Amsterdam."
2005,3687362121-61104-005_3687362121-61104-006,BRE Cert 04/03/1959- Processed 04/08/1959,Moved to a house in Puerto Rico.
2012,3687362121-61104-019_3687362121-61104-020,"Listings Jan 09/1959
BRE Cert. 11/12/1958 OK",Separated.
2013,3687362121-61104-021_3687362121-61104-022,"Address. 
Listings May 05/1959
BRE Cert Ok 05/06/1959",
2014,3687362121-61104-023_3687362121-61104-024,"List of addresses. 
Listings May 11/1959
BRE Cert Ok 05/12/1959",
2017,3687362121-61104-029_3687362121-61104-030,"Listings May 11/1959
BRE Cert OK 05/12/1959",
2018,3687362121-61104-031_3687362121-61104-032,"BRE Cert 04/01/1959
Processed 04/06/1959
Bonus","Person 2 is a Housewife.
Persons 3-4 are in School.
New apt. No. says 1st Fl."
2024,3687362500-61105-005_3687362500-61105-006,"List of addresses. 
Processed 09/29/1959
BRE Cert OK 09/25/1959",
2045,3687364249-61106-009_3687364249-61106-010,"bre cert 06/25/1959, listing 06/25/1959",
2046,3687364249-61106-011_3687364249-61106-012,"bre cert 04/10/1959, processed 04/13/1959",
2047,3687364249-61106-013_3687364249-61106-014,"bre cert ok 05/22/1959, listing 06/02/1959",
2051,3687364249-61106-021_3687364249-61106-022,"bre cert ok 01/21/1959, listing 01/14/1959",
2054,3687364249-61106-027_3687364249-61106-028,"bre certification s/s no central heat, processed 12/9",
2064,3687364685-61107-019_3687364685-61107-020,"BRE Cert 03/16/1959
Listings","No. of Years in Site is 3 weeks
New apt. No. is 2nd Fl"
2065,3687364685-61107-021_3687364685-61107-022,"Listings Mar. 06/1959
Proc. BRE 03/09/1959",
2076,3687364685-61107-043_3687364685-61107-044,"BRE Cert 03/13/1959
Listings Mar. 13/1959","Rent range is Welfare
New apt. No. says 2nd Fl"
2084,3687368625-61110-003_3687368625-61110-004,"Lived formerly on the site of Amsterdam Houses.
Address. 
BRE Cert Ok 07/14/1959
Listings 06/ 29/1959","Person 2 is Retired. 
Person 4 is Unemployed. 
Person 5 is a Housewife. 
Persons 6-7 are in School. 
Differences in New monthly rent and apartment characteristics rent."
2098,3687370077-61111-017_3687370077-61111-018,"08/06/1959 cert to sponsor moving claim to c/o 144.00, bre cert ok 08/03/1959, listing 07/28/1959",
2107,3687371744-61112-003_3687371744-61112-004,"bre cert 03/26/1959, processed 03/26/1959",
2108,3687371744-61112-005_3687371744-61112-006,"bre cert 3/19/59,  processed 3/26/59",
2111,3687371744-61112-011_3687371744-61112-012,"bre cert 2/24/59, processen 4/20/59, cert to sponsor 2/25/59 no claim for moving ",
2112,3687371744-61112-013_3687371744-61112-014,"cert 6/9/59, listing 6/9/1959, bre cert ok 6/9/59",
2119,3687372978-61113-003_3687372978-61113-004,"06/01/1959 Cert. to Sponsor
Address.
Listings May 22/1959
BRE Cert. OK 06/01/1959",Persons 3-4 are in School.
2120,3687372978-61113-005_3687372978-61113-006,"List of addresses. 
06/10/1959 Cert. to Sponsor
Listings June 09/19/1959
BRE Cert OK 06/10/1959","Person 2 is a Housewife.
Persons 4 is in School."
2124,3687372978-61113-013_3687372978-61113-014,"List of addresses.
08/21/1959 Cert. to Sponsor
BRE Cert OK 08/09/1959
Listings Aug. 11/1959",
2127,3687372978-61113-019_3687372978-61113-020,"Address.
Cert. to Sponsor 08/17/1959
BRE Cert OK 08/12/1959
Listings Aug 07/1959",
