ID_long,h_type,room_cnt_os.x,p01_plc_2,p02_plc_2,p03_plc_2,p04_plc_2,p05_plc_2,p06_plc_2,p07_plc_2,p08_plc_2,p09_plc_2,p010_plc_2,p011_plc_2,p012_plc_2,p01_plcrec_2,p02_plcrec_2,p03_plcrec_2,p04_plcrec_2,p05_plcrec_2,p06_plcrec_2,p07_plcrec_2,p08_plcrec_2,p09_plcrec_2,p010_plcrec_2,p011_plcrec_2,p012_plcrec_2,p01_rel_2,p02_rel_2,p03_rel_2,p04_rel_2,p05_rel_2,p06_rel_2,p07_rel_2,p08_rel_2,p09_rel_2,p010_rel_2,p011_rel_2,p012_rel_2,p01_age,p02_age,p03_age,p04_age,p05_age,p06_age,p07_age,p08_age,p09_age,p010_age,p011_age,p012_age,fam_size2,race2,pr_hh,pr_pop_hh,no_year_site2,no_year_city2,rent_os_grss,ann_inc_sum,rent_ut,hh_brdn_rent,hh_brdn_rent_ut,room_cnt_os,ovrcrwd,ovr_grp
3262921606-61018-001_3262921606-61018-002,Rooming,1,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,5,NA,260,NA,260,NA,NA,1,1,1.00 or less
3262921606-61018-003_3262921606-61018-004,Rooming,1,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,,,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Puerto Rican,1,2,0.25,4,520,NA,520,NA,NA,1,2,1.51 or more
3262921606-61018-005_3262921606-61018-006,Rooming,1.5,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,,,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Puerto Rican,1,3,1,NA,624,2600,624,24,24,1.5,2,1.51 or more
3262921606-61018-007_3262921606-61018-008,Rooming,1,Greece,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,12,NA,520,3176,520,16.37279597,16.37279597,1,2,1.51 or more
3262921606-61018-009_3262921606-61018-010,Rooming,1.5,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,,,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Grand Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Puerto Rican,1,2,2.5,NA,676,NA,676,NA,NA,1.5,1.333333333,1.01 to 1.50
3262921606-61018-011_3262921606-61018-012,Rooming,4,Spain,Spain,Spain,NA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Neice,Cousin,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,51,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,NA,NA,NA,5200,NA,NA,NA,4,0.75,1.00 or less
3262921606-61018-013_3262921606-61018-014,Rooming,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,12,NA,416,NA,416,NA,NA,1,1,1.00 or less
3262921606-61018-015_3262921606-61018-016,Rooming,1.5,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,,,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,26,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Puerto Rican,1,3,4,4,468,1300,468,36,36,1.5,2,1.51 or more
3262921606-61018-017_3262921606-61018-018,Rooming,1.5,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,,,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,Puerto Rican,1,2,0.5,1.5,520,5720,520,9.090909091,9.090909091,1.5,1.333333333,1.01 to 1.50
3262921606-61018-019_3262921606-61018-020,Rooming,1,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,,,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,26,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Puerto Rican,1,3,4,5,780,4160,780,18.75,18.75,1,3,1.51 or more
