ID_long,h_type,room_cnt_os.x,p01_plc_2,p02_plc_2,p03_plc_2,p04_plc_2,p05_plc_2,p06_plc_2,p07_plc_2,p08_plc_2,p09_plc_2,p010_plc_2,p011_plc_2,p012_plc_2,p01_plcrec_2,p02_plcrec_2,p03_plcrec_2,p04_plcrec_2,p05_plcrec_2,p06_plcrec_2,p07_plcrec_2,p08_plcrec_2,p09_plcrec_2,p010_plcrec_2,p011_plcrec_2,p012_plcrec_2,p01_rel_2,p02_rel_2,p03_rel_2,p04_rel_2,p05_rel_2,p06_rel_2,p07_rel_2,p08_rel_2,p09_rel_2,p010_rel_2,p011_rel_2,p012_rel_2,p01_age,p02_age,p03_age,p04_age,p05_age,p06_age,p07_age,p08_age,p09_age,p010_age,p011_age,p012_age,fam_size2,race2,pr_hh,pr_pop_hh,no_year_site2,no_year_city2,rent_os_grss,ann_inc_sum,rent_ut,hh_brdn_rent,hh_brdn_rent_ut,room_cnt_os,ovrcrwd,ovr_grp
3104718669-60949-001_3104718669-60949-002,Apartment,4,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,,,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Step Daughter,Step Son,NA,NA,NA,NA,NA,NA,NA,NA,27,38,17,12,NA,NA,NA,NA,NA,NA,NA,NA,4,Puerto Rican,1,4,1,9,603,2976,675,20.26209677,22.68145161,4,1,1.00 or less
3104718669-60949-003_3104718669-60949-004,Apartment,4,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Daughter,Son,NA,NA,NA,NA,NA,NA,NA,27,27,7,4,3,NA,NA,NA,NA,NA,NA,NA,5,NA,0,0,4,10,524.4,4160,524.4,12.60576923,12.60576923,4,1.25,1.01 to 1.50
3104718669-60949-005_3104718669-60949-006,Apartment,4,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,56,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,3,50,662.4,5000,770.4,13.248,15.408,4,0.75,1.00 or less
3104718669-60949-007_3104718669-60949-008,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,18,24,524.4,2600,620.4,20.16923077,23.86153846,4,0.5,1.00 or less
3104718669-60949-009_3104718669-60949-010,Apartment,4,Italy,Italy,USA,USA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Son,NA,NA,NA,NA,NA,NA,NA,NA,59,54,25,17,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,20,35,621,5720,717,10.85664336,12.53496503,4,1,1.00 or less
3104718669-60949-011_3104718669-60949-012,Apartment,4,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,16,40,496.8,651.6,496.8,76.24309392,76.24309392,4,0.25,1.00 or less
3104718669-60949-013_3104718669-60949-014,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,20,71,552,1764,552,31.29251701,31.29251701,4,0.5,1.00 or less
3104718669-60949-015_3104718669-60949-016,Apartment,2,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Oriental,0,0,NA,NA,552,NA,552,NA,NA,2,0.5,1.00 or less
3104734180-60950-001_3104734180-60950-002,Apartment,4,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,White,0,0,23,92,303.6,NA,333.6,NA,NA,4,0.25,1.00 or less
3104734180-60950-003_3104734180-60950-004,Apartment,4,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,33,31,13,5,3,NA,NA,NA,NA,NA,NA,NA,5,White,0,0,33,33,0,5200,120,0,2.307692308,4,1.25,1.01 to 1.50
3104734180-60950-005_3104734180-60950-006,Apartment,4,USA,USA,Italy,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,Husband,Wife,Mother of 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,45,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,29,46,317.4,3000,659.4,10.58,21.98,4,0.75,1.00 or less
3104734180-60950-007_3104734180-60950-008,Apartment,4,PR,PR,USA,NA,NA,NA,NA,NA,NA,NA,,,PR,PR,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Puerto Rican,1,3,7,8,365.04,3224,515.04,11.32258065,15.9751861,4,0.75,1.00 or less
3104734180-60950-009_3104734180-60950-010,Apartment,4,Cuba,Cuba,Cuba,NA,NA,NA,NA,NA,NA,NA,,,Caribbean,Caribbean,Caribbean,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Cousin,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,NA,0.333333333,396,7280,600,5.43956044,8.241758242,4,0.75,1.00 or less
3104734180-60950-011_3104734180-60950-012,Apartment,4,Yugoslavia,Yugoslavia,NA,NA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prime,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,14,17,276,2900,378,9.517241379,13.03448276,4,0.5,1.00 or less
3104734180-60950-013_3104734180-60950-014,Apartment,NA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,34,30,10,8,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,26,34,276,8100,492,3.407407407,6.074074074,NA,NA,NA
3104734180-60950-015_3104734180-60950-016,Apartment,4,Morta,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,White,0,0,8,28,276,2756,312,10.01451379,11.32075472,4,0.25,1.00 or less
3104744331-60951-001_3104744331-60951-002,Apartment,NA,PR,PR,PR,PR,PR,NA,NA,NA,NA,NA,,,PR,PR,PR,PR,PR,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Daughter,Son,NA,NA,NA,NA,NA,NA,NA,38,32,6,4,2,NA,NA,NA,NA,NA,NA,NA,5,NA,1,5,NA,NA,412.56,NA,412.56,NA,NA,NA,NA,NA
3104744331-60951-003_3104744331-60951-004,Apartment,4,Ireland,USA,USA,USA,USA,USA,NA,NA,NA,NA,,,Europe,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Son,Son,Daughter,NA,NA,NA,NA,NA,NA,45,NA,24,18,16,12,NA,NA,NA,NA,NA,NA,6,White,0,0,18,39,264,NA,444,NA,NA,4,1.5,1.01 to 1.50
3104744331-60951-005_3104744331-60951-006,Apartment,NA,Poland,Belo,USA,USA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,26,3,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,0,NA,NA,412.68,4160,412.68,9.920192308,9.920192308,NA,NA,NA
3104744331-60951-007_3104744331-60951-008,Rooming,4,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,4,27,412.56,3640,592.56,11.33406593,16.27912088,4,0.75,1.00 or less
3104744331-60951-009_3104744331-60951-010,Apartment,4,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,29,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,6,32,358.8,4500,442.8,7.973333333,9.84,4,0.75,1.00 or less
3104744331-60951-011_3104744331-60951-012,Apartment,4,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son of 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,50,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,45,49,358.8,5876,478.8,6.10619469,8.148400272,4,0.75,1.00 or less
3104744331-60951-013_3104744331-60951-014,Apartment,4,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,White,0,0,64,64,358.8,3120,454.8,11.5,14.57692308,4,0.25,1.00 or less
3104744331-60951-015_3104744331-60951-016,Apartment,4,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mother,Son,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,45,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,12,56,331.2,NA,424.2,NA,NA,4,0.75,1.00 or less
3104744331-60951-017_3104744331-60951-018,Apartment,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Daughter,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,10,NA,331.2,NA,511.2,NA,NA,4,1,1.00 or less
3104750306-60952-001_3104750306-60952-002,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Son,Mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,NA,NA,412.68,417,460.68,98.96402878,110.4748201,4,0.5,1.00 or less
3104750306-60952-003_3104750306-60952-004,Apartment,4,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Son,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,44,44,444.36,3900,558.36,11.39384615,14.31692308,4,0.75,1.00 or less
3104750306-60952-005_3104750306-60952-006,Apartment,4,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Son,Daughter,Son,NA,NA,NA,NA,NA,NA,30,34,14,8,7,2,NA,NA,NA,NA,NA,NA,6,White,0,0,1,30,600,4992,672,12.01923077,13.46153846,4,1.5,1.01 to 1.50
3104750306-60952-007_3104750306-60952-008,Apartment,4,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Son,Son,Daughter,NA,NA,NA,NA,NA,NA,42,38,17,15,13,7,NA,NA,NA,NA,NA,NA,6,White,0,0,17,42,444.36,5616,564.36,7.912393162,10.0491453,4,1.5,1.01 to 1.50
3104750306-60952-009_3104750306-60952-010,Apartment,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,M,Son,Son,Brother of 1,NA,NA,NA,NA,NA,NA,NA,NA,55,18,15,46,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,15,52,444.36,5108,511.56,8.699295223,10.01487862,4,1,1.00 or less
3104750306-60952-011_3104750306-60952-012,Apartment,4,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,White,0,0,10,57,444.36,NA,444.36,NA,NA,4,0.25,1.00 or less
3104750306-60952-013_3104750306-60952-014,Apartment,4,Spain,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,Europe,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mother,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,43,45,510.96,695.76,566.16,73.43911694,81.3728872,4,0.5,1.00 or less
3104750306-60952-015_3104750306-60952-016,Apartment,4,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,49,19,412.68,4555.72,472.68,9.058502278,10.37552791,4,0.25,1.00 or less
3105040525-60953-001_3105040525-60953-002,Apartment,3,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,White,0,0,0.83,61,600,2080,600,28.84615385,28.84615385,3,0.333333333,1.00 or less
3105040525-60953-003_3105040525-60953-004,Apartment,5,Italy,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,Europe,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,30,40,358.8,2340,400.8,15.33333333,17.12820513,5,0.4,1.00 or less
3105040525-60953-005_3105040525-60953-006,Rooming,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Son,NA,NA,NA,NA,NA,NA,NA,NA,29,28,11,9,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,11,29,358.8,3640,502.8,9.857142857,13.81318681,4,1,1.00 or less
3105040525-60953-007_3105040525-60953-008,Apartment,5,USA,Ireland,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Husband,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,44,72,358.8,1476,466.8,24.30894309,31.62601626,5,0.4,1.00 or less
3105040525-60953-009_3105040525-60953-010,Apartment,NA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,4,NA,412.56,3640,412.56,11.33406593,11.33406593,NA,NA,NA
3105040525-60953-011_3105040525-60953-012,Apartment,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Son,NA,NA,NA,NA,NA,NA,NA,NA,34,30,3,0,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,4.5,10,428.4,NA,596.4,NA,NA,4,1,1.00 or less
3105040525-60953-013_3105040525-60953-014,Apartment,5,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,38,58,358.8,1820,742.8,19.71428571,40.81318681,5,0.2,1.00 or less
3105040525-60953-015_3105040525-60953-016,Apartment,5,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,0,20,60,372.6,7200,528.6,5.175,7.341666667,5,0.4,1.00 or less
3105040525-60953-017_3105040525-60953-018,Apartment,4,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,,,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Daughter,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,4,NA,NA,428.52,4836,428.52,8.861042184,8.861042184,4,1,1.00 or less
3105040525-60953-019_3105040525-60953-020,Apartment,4,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,,,PR,PR,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Daughter,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,29,25,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,Puerto Rican,1,4,0.83,8,428.52,2860,524.52,14.98321678,18.33986014,4,1,1.00 or less
3105053683-60954-001_3105053683-60954-002,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Brother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,16,28,358.8,6656,646.8,5.390625,9.717548077,4,0.5,1.00 or less
3105053683-60954-003_3105053683-60954-004,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mother,Son,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,7,11,358.8,3016,538.8,11.89655172,17.86472149,4,0.5,1.00 or less
3105053683-60954-005_3105053683-60954-006,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Sister,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,30,45,NA,NA,NA,NA,NA,4,0.5,1.00 or less
3105053683-60954-007_3105053683-60954-008,Apartment,4,Italy,Italy,USA,NA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,39,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,6,18,372,4160,456,8.942307692,10.96153846,4,0.75,1.00 or less
3105053683-60954-009_3105053683-60954-010,Apartment,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,20,20,3,0,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,3,20,412.56,3000,412.56,13.752,13.752,4,1,1.00 or less
3105053683-60954-011_3105053683-60954-012,Apartment,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Daughter,Son,NA,NA,NA,NA,NA,NA,NA,NA,47,36,13,1,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,6,47,358.8,2860,430.8,12.54545455,15.06293706,4,1,1.00 or less
3105053683-60954-013_3105053683-60954-014,Apartment,4,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,Head,Wife,Son,Son,Son,Son,NA,NA,NA,NA,NA,NA,32,26,8,6,5,3,NA,NA,NA,NA,NA,NA,6,White,0,0,8,32,410.64,4160,530.64,9.871153846,12.75576923,4,1.5,1.01 to 1.50
3105053683-60954-015_3105053683-60954-016,Apartment,4,Spain,Spain,Spain,Spain,Spain,Spain,Spain,NA,NA,NA,,,Europe,Europe,Europe,Europe,Europe,Europe,Europe,NA,NA,NA,NA,NA,Head,Wife,Daughter,Daughter,Daughter,Daughter,Son,NA,NA,NA,NA,NA,43,42,20,17,16,11,5,NA,NA,NA,NA,NA,7,White,0,0,43,43,382.8,2600,574.8,14.72307692,22.10769231,4,1.75,1.51 or more
3105078105-60955-001_3105078105-60955-002,Apartment,4,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Son,Son,NA,NA,NA,NA,NA,NA,NA,46,47,19,17,16,NA,NA,NA,NA,NA,NA,NA,5,White,0,0,10,46,384.6,7820,660.6,4.918158568,8.447570332,4,1.25,1.01 to 1.50
3105078105-60955-003_3105078105-60955-004,Apartment,4,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Daughter,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,51,45,26,24,11,NA,NA,NA,NA,NA,NA,NA,5,White,0,0,5,51,NA,4888,NA,NA,NA,4,1.25,1.01 to 1.50
3105078105-60955-005_3105078105-60955-006,Apartment,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,Husband,Wife,Son,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,45,44,22,21,14,NA,NA,NA,NA,NA,NA,NA,5,White,0,0,24,45,370.8,4160,514.8,8.913461538,12.375,4,1.25,1.01 to 1.50
3105078105-60955-007_3105078105-60955-008,Apartment,4,Greece,Greece,NA,NA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,23,35,358.8,5200,406.8,6.9,7.823076923,4,0.5,1.00 or less
3105078105-60955-009_3105078105-60955-010,Apartment,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Wife,Daughter,Son,NA,NA,NA,NA,NA,NA,NA,NA,38,34,14,11,NA,NA,NA,NA,NA,NA,NA,NA,4,White,0,0,12,38,372.6,3120,540.6,11.94230769,17.32692308,4,1,1.00 or less
3105078105-60955-011_3105078105-60955-012,Apartment,4,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,White,0,0,40,40,296.64,4000,476.64,7.416,11.916,4,0.5,1.00 or less
3105078105-60955-013_3105078105-60955-014,Apartment,4,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,Husband,Wife,Son,Son,Son,NA,NA,NA,NA,NA,NA,NA,47,44,20,11,8,NA,NA,NA,NA,NA,NA,NA,5,White,0,0,NA,NA,358.8,8216,670.8,4.367088608,8.164556962,4,1.25,1.01 to 1.50
3105078105-60955-015_3105078105-60955-016,Apartment,4,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,48,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,White,0,0,25,52,358.8,2652,502.8,13.52941176,18.95927602,4,0.75,1.00 or less
3105078105-60955-017_3105078105-60955-018,Apartment,4,Ukraine,Ukraine,Ukraine,Germany,USA,Ukraine,Poland,NA,NA,NA,,,Europe,Europe,Europe,Europe,USA,Europe,Europe,NA,NA,NA,NA,NA,H,Son,Daughter,Grand Son,Grand Daughter,Son,Son,NA,NA,NA,NA,NA,60,24,33,12,3,22,32,NA,NA,NA,NA,NA,7,White,0,0,8,8,345,7280,453,4.739010989,6.222527473,4,1.75,1.51 or more
3105078105-60955-019_3105078105-60955-020,Apartment,4,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,,,USA,USA,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,36,6,4,3,2,NA,NA,NA,NA,NA,NA,6,White,0,0,2,40,358.8,7462,358.8,4.808362369,4.808362369,4,1.5,1.01 to 1.50
3105078105-60955-021_3105078105-60955-022,NA,4,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,,,USA,USA,USA,USA,NA,NA,NA,NA,NA,NA,NA,NA,H,Wife,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,44,34,2,9,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,0,0,NA,NA,358.8,2600,358.8,13.8,13.8,4,1,1.00 or less
3105078105-60955-023_3105078105-60955-024,Apartment,4,Poland,Germany,NA,NA,NA,NA,NA,NA,NA,NA,,,Europe,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Head,Son,Daughter,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,0,0,NA,NA,NA,2340,NA,NA,NA,4,0.75,1.00 or less
