0
Manhattan - East Side
Queens
Neighborhood
Manhattan
""
Sunnyside Queens
anyplace
L.I. (Queens) or Bronx
Brooklyn or Manhattan
Any
"Brooklyn, Manhattan "
"Manhattan, Queens "
Manhattan - this area
L.I. Queens
Mid Manhattan or Upper Manhattan
Midtown Manhattan
Sunnyside L.I.
Astoria or Manhattan
Jersey
Manhattan (West Side)
Long Island City Queens
Same
West side
Bronx. Washington Heights
Manhattan or queens
Mid Manhattan
West Side or Village
Manhattan or Brooklyn
"Mid Manhattan, West"
Mid Manhattan up to 104
Long Island
Staten Island
"Manhattan, bronx "
Queens - Manhattan
Brooklyn
Bonx or L. I. (Queens)
Connecticut
Manhattan or bronx
Manhattan or Long Island
any
bronx
This area - Manhattan
West Bronx
Bronx-Washington Heights
Manhattan-Brooklyn
Mid Manhattan - West Manhattan - Long Island
Queens - Astoria - Bay Side
Manhattan - Mid or West
West Side Manhattan
Manhattan - West Side
Same - Manhattan
?
Manhattan or Queens
[unintelligible]
"Bronx, Manhattan"
[Unintelligible]
queens
"Manhattan, Long Island, bronx "
staten island
bronx or Long Island
Astoria
upstate
Outside N.Y. suburbs
Upstate
will relocate send
will try to relocate self
Brooklyn or queens
will relocate self
In this area - Manahattan
Flushing (Queens) or L.I.
Undecided
East Side (Manhattan)
Manhattan or Astoria
Manhattan or Bronx
Brooklyn or Long Island
Manhattan - Washington Heights
same
Near
W 50's
Middle Manhattan
Long Island or Manhattan
W 60s
East Side Manhattan or West
Same Area
Anywhere
Bronx or Manhattan
Bronx
Manhattan east
New Jersey
L.I
Other area
Long Island or Upper Manhattan
westside
Same Vecinity
"Astoria, L.I."
Manhattan - Neighborhood
Manhattan - Bronx
Manhattan - Lower Manhattan
Queens or Manhattan
Manhattan - Midtown
Manhattan - Same
"Brooklyn, Manhattan"
Manhattan - West Side Uptown
Manhattan - Westside (23st to 80st)
anywhere
Anywhere or Manhattan
26 St-49st Westside
Manhattan - anywhere
Manhattan - Mid
Manhattan - Mid West Side
Manhattan Long Island
Manhattan - Lower Man or Mid West
Long Island (Queens) Astoria
manhattan
"Queens, Manhattan"
Manhattan - same neighborhood
Long Island (Queens)
Manhattan; ground floor
Manhattan - similar area
anywhere but brooklyn
Manhattan - Yorkville
Manhattan - East Asia
bronx or Manhattan
Washington Heights 173rd
Brooklyn + Manhattan
Suburb
Amsterdam- Anywhere
Not Harlem Downtown Only
Uptown Prospect 102 + Col. Ave.
Lower East or West Side
Manhattan Any Place
West Side
"Manhattan, bronx, Brooklyn "
flushing queens
Manhattan-West
Queens Manhattan
Manhattan- West Side
Uptown
Manhattan West Side
"queens, bronx "
Manhattan-Queens
Bronx-Manhattan
Manhattan-Bronx
North Bronx
Manhattan U.T.
Any- Bronx Preferred
Bronx and Manhattan
Jackson Heights Area
Lower Manhattan
Upper Manhattan
"Manhattan, Bronx "
New York
This area
Lower East Side
Jetson Heights Long Island
Manhattan near Village
"Manhattan, Bronx East or West "
90's-100's
Washington Heights or W 28
W 30'S
This Area
Manhattan- West
"bronx, Brooklyn "
Bridge Port Connecticut
no preference
"Manhattan , bronx "
